Slice_Index	Normalization_Factor
1	8716048.000000
2	8293209.000000
3	8648683.000000
4	8597347.000000
5	8365253.500000
6	8314080.500000
7	8626448.000000
8	8335112.500000
9	8614667.000000
10	8070688.000000
11	7861146.500000
12	8187104.000000
13	8006886.500000
14	8374984.500000
15	8121345.000000
16	8343162.000000
17	8495887.000000
18	8233425.000000
19	8916805.000000
20	8837553.000000
21	8804550.000000
22	8581162.000000
23	8746777.000000
24	9200580.000000
25	8780274.000000
26	8171270.000000
27	9307551.000000
28	8983591.000000
29	8713792.000000
30	8997121.000000
31	10052655.000000
32	9592815.000000
33	9250110.000000
34	9465376.000000
35	9083380.000000
36	9307164.000000
37	9358144.000000
38	10329449.000000
39	9550616.000000
40	9809963.000000
41	9984237.000000
42	10198999.000000
43	10211851.000000
44	9879753.000000
45	9622640.000000
46	10137382.000000
47	10317664.000000
48	10310242.000000
49	10414239.000000
50	10221165.000000
51	11410920.000000
52	11154983.000000
53	11516493.000000
54	10034396.000000
55	9410805.000000
56	9939453.000000
57	9526958.000000
58	9583806.000000
59	10581369.000000
60	10113319.000000
61	10200559.000000
62	10843862.000000
63	11777222.000000
64	11233806.000000
65	10741159.000000
66	12246893.000000
67	12552054.000000
68	13317996.000000
69	13937581.000000
70	13122582.000000
71	12409344.000000
72	10535414.000000
73	11152956.000000
74	11719584.000000
75	12853599.000000
76	13887186.000000
77	13303601.000000
78	12484827.000000
79	11959706.000000
80	12715440.000000
81	12199511.000000
82	12228687.000000
83	13197544.000000
84	14696349.000000
85	14312744.000000
86	12395529.000000
87	11318403.000000
88	12654475.000000
89	12398073.000000
90	13047377.000000
91	11998871.000000
92	12578761.000000
93	13551156.000000
94	14095075.000000
95	15852653.000000
96	14367209.000000
97	12442731.000000
98	13500625.000000
99	14041041.000000
100	13710830.000000
101	13390112.000000
102	14271477.000000
103	14513372.000000
104	13965217.000000
105	14770592.000000
106	15216191.000000
107	17553108.000000
108	21597088.000000
109	18741568.000000
110	18293746.000000
111	19864230.000000
112	18418348.000000
113	16130964.000000
114	15029189.000000
115	14894833.000000
116	15938200.000000
117	17690442.000000
118	20471116.000000
119	38638236.000000
120	65782020.000000
121	82871712.000000
122	104255936.000000
123	106541328.000000
124	82030840.000000
125	69485536.000000
126	60370156.000000
127	40835508.000000
128	50767260.000000
129	54355772.000000
130	45622576.000000
131	49583768.000000
132	41500076.000000
133	41568464.000000
134	43660980.000000
135	39735972.000000
136	40051048.000000
137	40008440.000000
138	37513168.000000
139	40851852.000000
140	49155600.000000
141	42813592.000000
142	46305084.000000
143	59411312.000000
144	61332252.000000
145	57168388.000000
146	46210796.000000
147	36200676.000000
148	35664352.000000
149	33333976.000000
150	35677640.000000
151	31242944.000000
152	25132388.000000
153	27370832.000000
154	29988258.000000
155	38042632.000000
156	37788348.000000
157	32911918.000000
158	25442330.000000
159	19169094.000000
160	14192300.000000
161	15497882.000000
162	14544326.000000
163	15757672.000000
164	14316522.000000
165	11841481.000000
166	12337720.000000
167	12766506.000000
168	12318263.000000
169	14851579.000000
170	16146712.000000
171	17220764.000000
172	15457121.000000
173	12555801.000000
174	13549719.000000
175	14470719.000000
176	14395293.000000
177	15214021.000000
178	16918416.000000
179	16316537.000000
180	16285352.000000
181	14940240.000000
182	15147938.000000
183	12323023.000000
184	12337196.000000
185	12169063.000000
186	13423458.000000
187	13637393.000000
188	14103465.000000
189	11708665.000000
190	10843151.000000
191	11066382.000000
192	11327621.000000
193	12458121.000000
194	13143396.000000
195	13186249.000000
196	12638773.000000
197	12653424.000000
198	12289243.000000
199	11790523.000000
200	10930272.000000
201	10827919.000000
202	10519778.000000
203	10169586.000000
204	11154885.000000
205	12974368.000000
206	12774232.000000
207	11605413.000000
208	11246274.000000
209	11687627.000000
210	11032104.000000
211	10558241.000000
212	10862790.000000
213	10173025.000000
214	10485359.000000
215	11201364.000000
216	10138579.000000
217	9722590.000000
218	9721775.000000
219	10429672.000000
220	10148948.000000
221	10230264.000000
222	9853799.000000
223	10154476.000000
224	11855655.000000
225	12197723.000000
226	11643291.000000
227	11318138.000000
228	10389862.000000
229	9303602.000000
230	9610989.000000
231	10683335.000000
232	10432848.000000
233	10303852.000000
234	9892930.000000
235	10311850.000000
236	10115383.000000
237	9667424.000000
238	8937356.000000
239	7909760.500000
240	8261806.500000
241	8850314.000000
242	8286540.500000
243	8536387.000000
244	9114779.000000
245	8921620.000000
246	9156161.000000
247	9285727.000000
248	9737860.000000
249	10649963.000000
250	9979758.000000
251	9665621.000000
252	9956909.000000
253	9734896.000000
254	9445518.000000
255	7916913.000000
256	7933234.500000
